Site,Store,Brand,Pattern,Size,Type,Price
www.dexel.co.uk,Attercliffe (Sheffield) Branch,DUNLOP,XL DUNLOP ALL SEASON 2,205/55R16 94V,"['ALL SEASON', 'EXTRA LOAD']",94.11
www.dexel.co.uk,Attercliffe (Sheffield) Branch,Dexel - assumed as alt was missing,PREMIUM CHOICE XL,205/55R16 94W,"['SUMMER', 'EXTRA LOAD']",94.52
www.dexel.co.uk,Attercliffe (Sheffield) Branch,Dexel - assumed as alt was missing,PREMIUM CHOICE XL,205/55R16 94W,"['SUMMER', 'EXTRA LOAD']",94.52
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BRIDGESTONE,BRIDGESTONE TURANZA 6 ENLITEN,205/55R16 91H,['SUMMER'],95.25
www.dexel.co.uk,Attercliffe (Sheffield) Branch,YOKOHAMA,XL YOKOHAMA BLUEARTH-GT AE51,205/55R16 94V,"['SUMMER', 'EXTRA LOAD']",95.35
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,GOODYEAR EFFICIENTGRIP PERFORMANCE,205/55R16 91W,['SUMMER'],95.49
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,GOODYEAR FP EFFICIENTGRIP PERFORMANCE 2,205/55R16 91Y,['SUMMER'],95.49
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BRIDGESTONE,BRIDGESTONE TURANZA T005,205/55R16 91V,['SUMMER'],95.85
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BRIDGESTONE,BRIDGESTONE ECOPIA EP150 LHD,205/55R16 91V,['SUMMER'],95.85
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BRIDGESTONE,BRIDGESTONE TURANZA 6 ENLITEN,205/55R16 91V,['SUMMER'],95.85
www.dexel.co.uk,Attercliffe (Sheffield) Branch,VREDESTEIN,XL VREDESTEIN QUATRAC,205/55R16 94V,"['ALL SEASON', 'EXTRA LOAD']",95.88
www.dexel.co.uk,Attercliffe (Sheffield) Branch,UNIROYAL,XL UNIROYAL RAINSPORT 3,205/55R16 94Y,"['SUMMER', 'EXTRA LOAD']",95.92
www.dexel.co.uk,Attercliffe (Sheffield) Branch,UNIROYAL,XL UNIROYAL ALLSEASON EXPERT 2,205/55R16 94V,"['ALL SEASON', 'EXTRA LOAD']",96.12
www.dexel.co.uk,Attercliffe (Sheffield) Branch,UNIROYAL,XL UNIROYAL ALLSEASON EXPERT 3,205/55R16 94V,"['ALL SEASON', 'EXTRA LOAD']",96.12
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,GOODYEAR EFFICIENTGRIP PERFORMANCE AO,205/55R16 91V,['SUMMER'],97.08
www.dexel.co.uk,Attercliffe (Sheffield) Branch,HANKOOK,HANKOOK VENTUS PRIME 4 K135,205/55R16 91H,['SUMMER'],97.47
www.dexel.co.uk,Attercliffe (Sheffield) Branch,HANKOOK,HANKOOK KINERGY ECO2 K435,205/55R16 91H,['SUMMER'],97.48
www.dexel.co.uk,Attercliffe (Sheffield) Branch,HANKOOK,HANKOOK KINERGY ECO2 K435,205/55R16 91H,['SUMMER'],97.48
www.dexel.co.uk,Attercliffe (Sheffield) Branch,HANKOOK,HANKOOK VENTUS PRIME 4 K135,205/55R16 91V,['SUMMER'],97.92
www.dexel.co.uk,Attercliffe (Sheffield) Branch,HANKOOK,XL HANKOOK VENTUS PRIME 3 K125,205/55R16 94H,"['SUMMER', 'EXTRA LOAD']",98.60
www.dexel.co.uk,Attercliffe (Sheffield) Branch,Dexel - assumed as alt was missing,PREMIUM CHOICE XL,205/55R16 94H,"['WINTER', 'EXTRA LOAD']",98.91
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BRIDGESTONE,BRIDGESTONE TURANZA 6 ENLITEN,205/55R16 91W,['SUMMER'],98.98
www.dexel.co.uk,Attercliffe (Sheffield) Branch,HANKOOK,HANKOOK VENTUS PRIME 4 K135,205/55R16 91W,['SUMMER'],99.06
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BRIDGESTONE,BRIDGESTONE TURANZA ER300 LZ *,205/55R16 91V,['SUMMER'],99.60
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BRIDGESTONE,BRIDGESTONE TURANZA T005 AO,205/55R16 91V,['SUMMER'],99.60
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,GOODYEAR VECTOR 4SEASONS GEN3,205/55R16 91V,['ALL SEASON'],99.62
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,XL GOODYEAR VECTOR 4SEASONS GEN2,205/55R16 94H,"['ALL SEASON', 'EXTRA LOAD']",99.62
www.dexel.co.uk,Attercliffe (Sheffield) Branch,Dexel - assumed as alt was missing,PREMIUM CHOICE,205/55R16 91H,['WINTER'],100.05
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BRIDGESTONE,BRIDGESTONE TURANZA ER300 RZ *,205/55R16 91H,['SUMMER'],100.18
www.dexel.co.uk,Attercliffe (Sheffield) Branch,HANKOOK,XL HANKOOK VENTUS PRIME 4 K135,205/55R16 94V,"['SUMMER', 'EXTRA LOAD']",100.24
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,GOODYEAR EFFICIENTGRIP PERFORMANCE AO,205/55R16 91W,['SUMMER'],100.26
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,XL GOODYEAR EFFICIENTGRIP PERFORMANCE 2 OE1,205/55R16 94V,"['SUMMER', 'EXTRA LOAD']",100.26
www.dexel.co.uk,Attercliffe (Sheffield) Branch,VREDESTEIN,VREDESTEIN WINTRAC,205/55R16 91H,['WINTER'],100.87
www.dexel.co.uk,Attercliffe (Sheffield) Branch,Dexel - assumed as alt was missing,PREMIUM CHOICE,205/55R16 91T,['WINTER'],101.19
www.dexel.co.uk,Attercliffe (Sheffield) Branch,VREDESTEIN,VREDESTEIN WINTRAC,205/55R16 91T,['WINTER'],101.20
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,XL GOODYEAR VECTOR 4SEASONS GEN2 VW,205/55R16 94V,"['ALL SEASON', 'EXTRA LOAD']",101.22
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,XL GOODYEAR VECTOR 4SEASONS GEN3 PE,205/55R16 94V,"['ALL SEASON', 'EXTRA LOAD']",101.22
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,XL GOODYEAR VECTOR 4SEASONS GEN3,205/55R16 94V,"['ALL SEASON', 'EXTRA LOAD']",101.22
www.dexel.co.uk,Attercliffe (Sheffield) Branch,BRIDGESTONE,BRIDGESTONE TURANZA T005 *,205/55R16 91W,['SUMMER'],101.46
www.dexel.co.uk,Attercliffe (Sheffield) Branch,YOKOHAMA,YOKOHAMA BLUEARTH WINTER V906 SUV,205/55R16 91H,['WINTER'],101.50
www.dexel.co.uk,Attercliffe (Sheffield) Branch,YOKOHAMA,YOKOHAMA ADVAN SPORT V103S ZPS,205/55RF16 91W,"['SUMMER', 'RUN FLAT']",102.08
www.dexel.co.uk,Attercliffe (Sheffield) Branch,HANKOOK,XL HANKOOK IH61 ION ST AS,205/55R16 94V,"['SUMMER', 'EXTRA LOAD']",102.70
www.dexel.co.uk,Attercliffe (Sheffield) Branch,HANKOOK,HANKOOK WINTER I*CEPT RS3 W462,205/55R16 91H,['WINTER'],104.12
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL CONTI ECOCONTACT 6,205/55R16 91H,['SUMMER'],104.23
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL CONTIECOCONTACT 5 MO,205/55R16 91H,['SUMMER'],104.23
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL CONTIECOCONTACT 5,205/55R16 91H,['SUMMER'],104.23
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL FR ULTRACONTACT,205/55R16 91H,['SUMMER'],104.23
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL CONTIPREMIUMCONTACT 7,205/55R16 91H,['SUMMER'],104.23
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL CONTIECOCONTACT 5,205/55R16 91H,['SUMMER'],104.23
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL CONTIECOCONTACT 5 MO,205/55R16 91V,['SUMMER'],104.71
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL CONTIPREMIUMCONTACT 2 *,205/55R16 91V,['SUMMER'],104.71
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL FR ULTRACONTACT,205/55R16 91V,['SUMMER'],104.71
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL CONTI ECOCONTACT 6,205/55R16 91V,['SUMMER'],104.71
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL CONTIPREMIUMCONTACT 7,205/55R16 91V,['SUMMER'],104.71
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,XL GOODYEAR VECTOR 4SEASONS AO,205/55R16 94V,"['ALL SEASON', 'EXTRA LOAD']",105.45
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL CONTIECOCONTACT 5 AO,205/55R16 91W,['SUMMER'],105.80
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL CONTIPREMIUMCONTACT 5 AO,205/55R16 91W,['SUMMER'],105.80
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL FR ULTRACONTACT,205/55R16 91W,['SUMMER'],105.80
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL CONTI ECOCONTACT 6 *,205/55R16 91W,['SUMMER'],105.80
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL CONTI ECOCONTACT 6 *,205/55R16 91W,['SUMMER'],105.80
www.dexel.co.uk,Attercliffe (Sheffield) Branch,DUNLOP,DUNLOP SP WINTER SPORT5,205/55R16 91T,['WINTER'],106.04
www.dexel.co.uk,Attercliffe (Sheffield) Branch,HANKOOK,XL HANKOOK KINERGY 4S 2 H750,205/55R16 94H,"['ALL SEASON', 'EXTRA LOAD']",106.45
www.dexel.co.uk,Attercliffe (Sheffield) Branch,DUNLOP,DUNLOP SP WINTER SPORT5,205/55R16 91H,['WINTER'],106.58
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,XL GOODYEAR EFFICIENTGRIP PERFORMANCE 2,205/55R16 94W,"['SUMMER', 'EXTRA LOAD']",107.14
www.dexel.co.uk,Attercliffe (Sheffield) Branch,UNIROYAL,UNIROYAL RAINSPORT 3 SSR,205/55RF16 91W,"['SUMMER', 'RUN FLAT']",107.38
www.dexel.co.uk,Attercliffe (Sheffield) Branch,DUNLOP,DUNLOP SP SPORT MAXX TT *,205/55R16 91W,['SUMMER'],107.46
www.dexel.co.uk,Attercliffe (Sheffield) Branch,YOKOHAMA,XL YOKOHAMA BLUEARTH WINTER V906 SUV,205/55R16 94H,"['WINTER', 'EXTRA LOAD']",107.58
www.dexel.co.uk,Attercliffe (Sheffield) Branch,DUNLOP,DUNLOP SP WINTER SPORT 4D MO,205/55R16 91H,['WINTER'],107.64
www.dexel.co.uk,Attercliffe (Sheffield) Branch,HANKOOK,XL HANKOOK KINERGY 4S 2 H750,205/55R16 94V,"['ALL SEASON', 'EXTRA LOAD']",107.78
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,GOODYEAR ULTRAGRIP PERFORMANCE 3,205/55R16 91T,['WINTER'],107.85
www.dexel.co.uk,Attercliffe (Sheffield) Branch,YOKOHAMA,XL YOKOHAMA BLUEARTH-4S AW21,205/55R16 94V,"['ALL SEASON', 'EXTRA LOAD']",107.92
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL ALLSEASONCONTACT 2,205/55R16 91H,['ALL SEASON'],108.22
www.dexel.co.uk,Attercliffe (Sheffield) Branch,GOODYEAR,GOODYEAR ULTRAGRIP PERFORMANCE 3,205/55R16 91H,['WINTER'],108.38
www.dexel.co.uk,Attercliffe (Sheffield) Branch,VREDESTEIN,XL VREDESTEIN WINTRAC,205/55R16 94H,"['WINTER', 'EXTRA LOAD']",108.52
www.dexel.co.uk,Attercliffe (Sheffield) Branch,LANDSAIL,LANDSAIL LS388@RSC ROF,205/55ZRF16 91W,"['SUMMER', 'RUN FLAT']",108.79
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,CONTINENTAL ALLSEASONCONTACT 2,205/55R16 91V,['ALL SEASON'],108.85
www.dexel.co.uk,Attercliffe (Sheffield) Branch,CONTINENTAL,XL CONTINENTAL ALLSEASONCONTACT 2,205/55R16 94H,"['ALL SEASON', 'EXTRA LOAD']",109.11
